Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
BHOLA,10,Bhola Sadar,Bhola,Barisal
CHANDGAON CTG,10,Chandgaon,Chittagong,Chittagong
"FATICKCHARI,CTG.",10,Fatikchhari,Chittagong,Chittagong
"KARNAPHULI, CTG",10,Unknown,Unknown,Unknown
LOHAGORA CTG,10,Lohagara,Chittagong,Chittagong
SENBAG NOAKHALI,10,Noakhali Sadar (Sudharam),Noakhali,Chittagong
"SHORAIPARA,PAHARTOLI,C TG",10,Pahartali,Chittagong,Chittagong
"AGRABAD,CTG",9,Unknown,Unknown,Unknown
B-BARIA,9,Unknown,Unknown,Unknown
"BANDAR, CTG",9,Bandar,Narayanganj,Dhaka
"BAYZID, CTG",9,Unknown,Unknown,Unknown
"BETAGI,RANGUNIA,CTG",9,Betagi,Barguna,Barisal
"BHUJPUR,CTG",9,Bhuapur,Tangail,Dhaka
BOALKHALI. CTG,9,Boalkhali,Chittagong,Chittagong
"CHAKARIA,COXS BAZAR",9,Chakaria,Cox's Bazar,Chittagong
"KARNAFULI,CTG",9,Unknown,Unknown,Unknown
KHAGRACHARI,9,Khagrachhari Sadar,Khagrachhari,Chittagong
"MOTLAB,CHANDPUR",9,Unknown,Unknown,Unknown
MURADNAGAR CUMILLA,9,Muradnagar,Comilla,Chittagong
"POTENGA, CTG",9,Patenga,Chittagong,Chittagong
"POTIYA,CTG.",9,Patiya,Chittagong,Chittagong
SANDIP. CTG,9,Sandwip,Chittagong,Chittagong
"SHIKOLBAHA,KARNAFULY, CTG",9,Unknown,Unknown,Unknown
"BANSHBARIA,SITAKUNDA,C TG",8,Sitakunda,Chittagong,Chittagong
"BEGUMGONJ,NOAKHALI",8,Begumganj,Noakhali,Chittagong
CHODDOGRAM CUMILLA,8,Unknown,Unknown,Unknown
"CORNELHAT,AKBARSHAH,C TG",8,Unknown,Unknown,Unknown
"EIDGHA,HALISHAHAR,CTG",8,Halishahar,Chittagong,Chittagong
HALISHAHAR. CTG,8,Halishahar,Chittagong,Chittagong
KOTOWALI. CTG,8,Kotwali,Chittagong,Chittagong
"LOHAGARA, CTG",8,Lohagara,Chittagong,Chittagong
"MOGDHARA,SANDWIP,CTG",8,Dohar,Dhaka,Dhaka
"MURADPUR,SITAKUNDA,CTG",8,Sitakunda,Chittagong,Chittagong
"NORTH KATTOLI,PAHARTOLI,CTG",8,Pahartali,Chittagong,Chittagong
"NOYAPARA,GUZARA,RAOZ AN,CTG",8,Atpara,Netrakona,Mymensingh
"NOYAPARA,RAOZAN,CTG",8,Raozan,Chittagong,Chittagong
"PATIYA, CTG",8,Patiya,Chittagong,Chittagong
PATIYA. CTG,8,Patiya,Chittagong,Chittagong
"POMRA,RANGUNIA,CTG",8,Rangunia,Chittagong,Chittagong
SADAR LUXMIPUR,8,Madaripur Sadar,Madaripur,Dhaka
"SADAR,FENI",8,Feni Sadar,Feni,Chittagong
"SARAFBHATA,RANGUNIA,C TG",8,Rangunia,Chittagong,Chittagong
